Part Number,Qty Ordered,UM_Multiplier
GRHB-AB,36,1
MARK,0,1
LOT,0,1
 ,0,1
GRHB-3000-L,72,1
GRHB-LNS-8D,72,1
GRHB-LC,72,1
 ,1,1
GRHB-100,3.006,1
GRHB-BASE,3.006,1
GRHB-EC,36,1
LDRCC-40,6,1
EX-MDA-BK,520,1
ECD-BK,2,1
EX-SH,520,1
EX-LSK-BK,520,1
EX-OR-22,1040,1
EX-SCR,2080,1
RV-SEAL,1040,1
EX-USK-BK,520,1
EX-UB-IW,520,1
T24-600/277,2,1
MARK,0,1
CABLE-BK,30,1
EX-S14-FR,520,1
EX-CNT,1040,1
CABLE-BK,260,1
LOT,0,1
EX-CS-P,520,1
 ,1,1
EX-CS1,520,1
CABLE-BK,50,1
EX-OR-22,220,1
EX-SPH-CL,110,1
 ,0,1
EX-MS-BK,200,1
 ,-1,1
MARK,0,1
ECD-BK,2,1
EX-OR-22,20,1
EX-G14-CL,10,1
EX-VI-WW,20,1
 ,0,1
CABLE-BK,32.81,1
EX-OR-22,200,1
EX-G14-CL,100,1
EX-VI-WW,100,1
 ,0,1
EX-MD-BK,10,1
ECD-BK,2,1
EX-CNT,200,1
RV-SEAL,200,1
EX-SCR,400,1
EX-USK-BK,100,1
EX-LSK-BK,100,1
EX-MD-BK,100,1
EX-MS-BK,20,1
TLX-WG-LVR,135,1
HINGE-BK,12,1
TLX-RC-BK,12,1
TLX-TK-BK,5.4,1
TLX-CON-WG2,6,1
TLX-RC-BK,24,1
TLX-ED-WG,6,1
LDR24-192,2,1
LDR-DIM,4,1
LOT,0,1
TLX-WG-3000K-SP,54,1
TLX-WG-CH,35.52,1
TLX-CP-WG,54,1
EX-USK-BK,16,1
EX-CNT,32,1
EX-LSK-BK,16,1
RV-SEAL,32,1
EX-VI-WW,16,1
EX-SPH-CL,16,1
EX-OR-22,32,1
CABLE-BK,78.744,1
 ,-1,1
 ,0,1
CABLE-BK,16,1
EX-SCR,64,1
CABLE-BK,574.175,1
EX-OR-22,576,1
EX-SPH-CL,288,1
EX-VI-WW,288,1
RV-SEAL,576,1
EX-LSK-BK,288,1
EX-CNT,576,1
EX-USK-BK,288,1
EX-SCR,1152,1
CABLE-BK,288,1
 ,0,1
 ,-1,1
TLX-WG-BKT,8,1
TLX-TK-BK,3.6,1
TLX-RC-BK,8,1
TLX-CP-WG,52,1
TLX-CON-WG2,8,1
TLX-RC-BK,32,1
TLX-ED-WG,8,1
LDR24-96,4,1
 ,1,1
 ,0,1
TLX-WG-3000K-SP,40,1
LC-1CH-MULTI,4,1
TLX-WG-CH,26.28,1
TLX-CP-WG,40,1
TLX-WG-LVR,100,1
TLX-TK-BK,4,1
TLX-WG-BKT,8,1
TLX-RC-BK,8,1
LOT,0,1
TLX-WG-3000K-SP,36,1
TLX-WG-CH,23.68,1
TLX-CP-WG,36,1
TLX-WG-LVR,90,1
MARK,0,1
EX-USK-BK,36,1
T24-150,6,1
EX-MDA-BK,36,1
EX-WR,36,1
EX-TK,4,1
EX-CNT,336,1
CABLE-BK,36,1
EX-CNT,72,1
EX-LSK-BK,36,1
EX-OR-22,72,1
EX-SCR,144,1
EX-SPH-CL,36,1
EX-UB-WW,36,1
RV-SEAL,72,1
LOT,0,1
 ,0,1
CABLE-BK,168,1
EX-LSK-BK,168,1
EX-OR-22,336,1
EX-SCR,672,1
EX-SPH-CL,168,1
EX-UB-WW,168,1
RV-SEAL,336,1
EX-USK-BK,168,1
EX-MDA-BK,168,1
EX-WR,168,1
EX-TK,12,1
T24-150,2,1
 ,0,1
CABLE-BK,68,1
EX-CNT,136,1
EX-LSK-BK,68,1
EX-OR-22,136,1
EX-SCR,272,1
EX-SPH-CL,68,1
EX-UB-WW,68,1
RV-SEAL,136,1
EX-USK-BK,68,1
EX-MDA-BK,68,1
EX-WR,68,1
EX-TK,2,1
T24-150,1,1
 ,0,1
MARK,0,1
T12-300,1,1
RV-LSKT,121.8,1
RV-SEAL,121.8,1
RV-CONTACT,244.2,1
RV-5500-120D,121.8,1
RV-SCREW,487.8,1
CABLE-BK,60,1
LOT,0,1
RV-ORING,121.8,1
MARK,0,1
RV-USKT,121.8,1
 ,0,1
RV-USKT,201.3,1
RV-LSKT,201.3,1
RV-SEAL,201.3,1
RV-CONTACT,402.6,1
RV-ORING,201.3,1
RV-2700-120D,201.3,1
RV-SCREW,804.54,1
ECD-WH,10,1
LOT,0,1
T12-150,2,1
 ,0,1
T12-300,1,1
 ,0,1
RS-GC,33,1
MS-LNS-30D,33,1
MDL-2700-W,33,1
CABLE-BK,66,1
LC-1CH-MULTI,1,1
LDR24-96,1,1
MARK,0,1
 ,0,1
AVXF-75,146,1
AVXF-2400K,584,1
ECL-WH,10,1
AV-MS,1200,1
ECD-WH,10,1
LDR24-96,10,1
CABLE-BK,126,1
EX-CNT,252,1
EX-LSK-BK,126,1
EX-OR-22,252,1
EX-WR,156,1
EX-TK,12,1
EX-SH,126,1
EX-CS2,126,1
EX-USK-BK,126,1
T24-150,6,1
RV-SEAL,252,1
EX-UB-IW,126,1
EX-SPH-FR,126,1
EX-SCR,504,1
EX-MDA-BK,126,1
EX-CS-P,126,1
LOT,0,1
RV-3000-SP,2159.4,1
RV-CONTACT,4315.26,1
RV-LSKT,2159.4,1
RV-ORING,2159.4,1
RV-SCREW,8630.52,1
RV-SEAL,2159.4,1
RV-USKT,2159.4,1
RV-CH-SV-2.4M,46.02,1
RV-FB,110,1
RVC-EC,110,1
MISC,354,1
MISC,7,1
T12-300,12,1
CABLE-BK,354,1
EX-LSK-WH,87,1
CABLE-WH,174,1
 ,0,1
EX-TK,12,1
T24-150,1,1
LDR24-25,1,1
EX-WR,204,1
MISC,1,1
LC-1CH-MULTI,1,1
MDL-2700-S,14,1
MS-LNS-16D,14,1
RS-GC,14,1
EX-MDA-WH,84,1
EX-USK-WH,87,1
EX-VI-WW,87,1
RV-SEAL,174,1
EX-CNT,174,1
EX-SCR,348,1
EX-S14-CL,87,1
EX-OR-22,174,1
CABLE-CAT5-25,3,1
ECL-WH,3,1
SRP,3,1
GRX-CON,3,1
WF-CL50,0.06,1
LDR24-192,3,1
LOT,0,1
EC-FL,6,1
 ,0,1
GRX-3000-15D-600,12,1
GRX-GG-BK,24,1
GRX-LVR,96,1
GRX-LVR-SCREW,132,1
GRX-Y-CON,3,1
GRX-EC,3,1
ENCL12124-3R,3,1
LDR24-16,3,1
LC-1CH-MULTI,3,1
LC-GR-DP,3,1
MARK,0,1
 ,1,1
EX-S14-CL,590,1
EX-WR,690,1
EX-UB-WW,590,1
RV-SEAL,1180,1
EX-USK-BK,590,1
T24-600,3,1
EX-TK,40,1
EX-SCR,2360,1
EX-CNT,1180,1
CABLE-BK,590,1
EX-MDA-BK,590,1
EX-LSK-BK,590,1
EX-OR-22,1180,1
LOT,0,1
EX-OR-22,720,1
EX-USK-BK,360,1
EX-CNT,720,1
RV-SEAL,720,1
EX-LSK-BK,360,1
EX-MDA-BK,360,1
ECD-BK,5,1
T24-150,5,1
 ,0,1
AVXF-75,100,1
AVXF-2400K,400,1
ECL-WH,8,1
ECD-WH,8,1
LDR24-96,8,1
LC-1CH-MULTI,8,1
AVXF-MC,100,1
AV-MS,800,1
WFL-1,400,1
 ,0,1
 ,0,1
CT-B,40,1
CL-30,40,1
CLED-2000K,406.4,1
ECM-L,2,1
CTO-CP,40,1
LDR8-80,1,1
LC-1CH-MULTI,2,1
WM-1020,1,1
 ,0,1
 ,0,1
MC-S,54,1
CL-30,54,1
MC-BW,54,1
CLED-2000K,548.64,1
ECM-L,3,1
CTO-CP,50,1
LDR8-80,1,1
LDR8-40,1,1
LC-1CH-MULTI,3,1
 ,0,1
 ,0,1
CABLE-BK,360,1
EX-G14-CL,360,1
EX-WW,360,1
EX-SCR,1440,1
EX-MDA-BK,95,1
CABLE-BK,95,1
EX-S14-CL,95,1
EX-WW,95,1
EX-SCR,380,1
RV-SEAL,190,1
EX-OR-22,190,1
EX-USK-BK,95,1
MARK,0,1
T24-100,1,1
EX-TK,2,1
EX-WR,100,1
EX-LSK-BK,95,1
EX-CNT,190,1
EX-USK-BK,29.04,1
EX-CNT,58.08,1
EX-MDA-BK,30,1
T24-150,1,1
CABLE-BK,44,1
EX-SPH-CL,29.04,1
RV-SEAL,58.08,1
EX-LSK-BK,29.04,1
EX-SCR,116.16,1
EX-OR-22,58.08,1
EX-WW,29.04,1
MARK,0,1
WP-L02C,1789.76,1
FLBK-210-HM,1233.656,1
HC-10/PLUG,48,1
HC-10/BOX-GSKT,12,1
LDR8-40,5,1
LDR8-80,9,1
TLED-IW-UB,1789.76,1
LDR24-60,1,1
WAGO-CON-3P,2,1
LC-DMR-SVK,1,1
 ,1,1
LOT,0,1
MDBS-3500K-L1200-CP,1,1
MDS-500-CP,2,1
MDS-MAG,2,1
WAGO-CON-3P,2,1
LC-DMR-EZ,1,1
LC-1CH-MULTI,4,1
LOT,0,1
 ,1,1
 ,0,1
EX-MDA-BK,40,1
EX-WR,90,1
EX-TK,2,1
ECD-BK,1,1
T24-300/277,1,1
EX-MDA-BK,90,1
EX-WR,200,1
EX-TK,4,1
ECD-BK,2,1
T24-300/277,2,1
EX-MDA-BK,50,1
EX-WR,110,1
EX-TK,2,1
ECD-BK,1,1
T24-300/277,1,1
EX-MDA-BK,53,1
EX-WR,115,1
EX-TK,2,1
ECD-BK,1,1
T24-300/277,1,1
 ,0,1
LDR8-80,3,1
TRI-CH-ECD,3,1
TRI-CH-ECL,3,1
LDR8-80,4,1
TRI-CH-ECL,4,1
TRI-CH-ECD,4,1
LDR8-80,1,1
TRI-CH-ECL,1,1
TRI-CH-ECD,1,1
LDR8-80,1,1
TRI-CH-ECD,1,1
TRI-CH-ECL,1,1
LDR8-80,2,1
TRI-CH-ECD,2,1
TRI-CH-ECL,2,1
CABLE-BK,80,1
EX-LSK-BK,40,1
EX-OR-22,80,1
EX-SPH-CL,40,1
EX-SCR,160,1
EX-VI-IW,40,1
EX-CNT,80,1
EX-USK-BK,40,1
RV-SEAL,80,1
 ,0,1
CABLE-BK,180,1
EX-LSK-BK,90,1
EX-OR-22,180,1
EX-SCR,360,1
EX-SPH-CL,90,1
RV-SEAL,180,1
EX-USK-BK,90,1
EX-VI-WW,90,1
EX-CNT,180,1
 ,0,1
CABLE-BK,100,1
EX-LSK-BK,50,1
EX-OR-22,100,1
EX-SPH-CL,50,1
EX-SCR,200,1
EX-VI-IW,50,1
EX-CNT,100,1
EX-USK-BK,50,1
RV-SEAL,100,1
 ,0,1
CABLE-BK,105,1
EX-LSK-BK,52.5,1
EX-OR-22,105,1
EX-SPH-CL,52.5,1
EX-SCR,210,1
EX-VI-IW,52.5,1
EX-CNT,105,1
EX-USK-BK,52.5,1
RV-SEAL,105,1
 ,0,1
LUM-100-IW,30,1
TRI-CH-B-SC,3.6,1
TRI-CH-C-SC,3.6,1
LC-1CH-MULTI,6,1
 ,0,1
LUM-100-IW,60,1
TRI-CH-B-SC,7.2,1
TRI-CH-C-SC,7.2,1
LC-1CH-MULTI,8,1
 ,0,1
LUM-100-IW,25,1
TRI-CH-B-SC,3,1
TRI-CH-C-SC,3,1
LC-1CH-MULTI,2,1
 ,0,1
LUM-100-IW,40,1
TRI-CH-B-SC,4.8,1
TRI-CH-C-SC,4.8,1
LC-1CH-MULTI,2,1
 ,0,1
LUM-100-IW,50,1
TRI-CH-B-SC,6,1
TRI-CH-C-SC,6,1
EX-SCR,320,1
CABLE-BK,52.496,1
 ,-1,1
 ,0,1
CABLE-BK,80,1
EX-VI-WW,80,1
EX-USK-BK,80,1
EX-CNT,160,1
EX-LSK-BK,80,1
RV-SEAL,160,1
EX-SPH-CL,80,1
EX-OR-22,160,1
MISC,1,1
AVXF-CP,8,1
 ,1,1
MARK,0,1
LOT,0,1
AVXF-60,10,1
AVXF-2700K,50.8,1
ECL-WH,1,1
ECD-WH,1,1
T24-100,1,1
ECD-WH,1,1
AVXF-MC,2,1
CABLE-BK,322,1
RV-SEAL,322,1
EX-CNT,322,1
EX-SCR,644,1
EX-SPH-CL,161,1
EX-USK-BK,161,1
EX-MDA-BK,162,1
ECD-BK,2,1
EX-TK,4,1
EX-WR,332,1
T24-300,2,1
MARK,0,1
EX-UB-IW,161,1
EX-LSK-BK,161,1
EX-OR-22,322,1
EX-SPH-CL,200,1
EX-OR-22,400,1
MARK,0,1
LOT,0,1
LDR8-80,4,1
 ,1,1
